Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/inst/net_slot_0_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_0_axis_tkeep[3:0],design_1_i/system_ila_0/inst/net_slot_0_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_0_axis_tready,design_1_i/system_ila_0/inst/net_slot_0_axis_tlast,design_1_i/system_ila_0/inst/net_slot_1_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_1_axis_tstrb[3:0],design_1_i/system_ila_0/inst/net_slot_1_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_1_axis_tready,design_1_i/system_ila_0/inst/net_slot_1_axis_tlast,design_1_i/system_ila_0/inst/net_slot_2_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_2_axis_tstrb[3:0],design_1_i/system_ila_0/inst/net_slot_2_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_2_axis_tready,design_1_i/system_ila_0/inst/net_slot_2_axis_tlast,Interface_(i1:s0)_(axis_data_fifo_0_M_AXIS)[2:0],Interface_(i1:s1)_(axis_data_fifo_1_M_AXIS)[2:0],Interface_(i1:s2)_(Upsampling_Bayes_0_m00_axis1)[2:0],T_Channel_(i1:s0)_(axis_data_fifo_0_M_AXIS)[2:0],T_Channel_(i1:s1)_(axis_data_fifo_1_M_AXIS)[2:0],T_Channel_(i1:s2)_(Upsampling_Bayes_0_m00_axis1)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
1,1,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
2,2,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
3,3,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
4,4,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
5,5,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
6,6,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
7,7,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
8,8,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
9,9,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
10,10,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
11,11,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
12,12,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
13,13,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
14,14,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
15,15,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
16,16,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
17,17,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
18,18,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
19,19,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
20,20,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
21,21,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
22,22,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
23,23,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
24,24,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
25,25,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
26,26,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
27,27,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
28,28,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
29,29,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
30,30,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
31,31,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
32,32,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
33,33,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
34,34,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
35,35,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
36,36,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
37,37,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
38,38,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
39,39,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
40,40,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
41,41,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
42,42,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
43,43,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
44,44,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
45,45,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
46,46,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
47,47,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
48,48,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
49,49,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
50,50,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
51,51,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
52,52,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
53,53,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
54,54,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
55,55,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
56,56,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
57,57,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
58,58,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
59,59,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
60,60,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
61,61,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
62,62,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
63,63,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
64,64,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
65,65,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
66,66,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
67,67,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
68,68,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
69,69,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
70,70,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
71,71,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
72,72,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
73,73,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
74,74,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
75,75,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
76,76,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
77,77,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
78,78,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
79,79,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
80,80,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
81,81,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
82,82,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
83,83,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
84,84,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
85,85,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
86,86,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
87,87,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
88,88,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
89,89,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
90,90,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
91,91,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
92,92,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
93,93,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
94,94,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
95,95,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
96,96,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
97,97,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
98,98,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
99,99,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
100,100,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
101,101,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
102,102,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
103,103,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
104,104,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
105,105,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
106,106,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
107,107,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
108,108,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
109,109,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
110,110,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
111,111,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
112,112,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
113,113,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
114,114,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
115,115,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
116,116,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
117,117,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
118,118,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
119,119,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
120,120,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
121,121,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
122,122,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
123,123,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
124,124,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
125,125,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
126,126,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
127,127,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
128,128,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
129,129,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
130,130,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
131,131,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
132,132,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
133,133,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
134,134,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
135,135,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
136,136,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
137,137,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
138,138,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
139,139,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
140,140,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
141,141,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
142,142,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
143,143,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
144,144,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
145,145,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
146,146,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
147,147,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
148,148,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
149,149,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
150,150,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
151,151,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
152,152,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
153,153,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
154,154,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
155,155,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
156,156,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
157,157,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
158,158,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
159,159,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
160,160,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
161,161,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
162,162,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
163,163,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
164,164,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
165,165,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
166,166,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
167,167,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
168,168,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
169,169,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
170,170,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
171,171,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
172,172,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
173,173,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
174,174,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
175,175,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
176,176,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
177,177,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
178,178,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
179,179,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
180,180,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
181,181,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
182,182,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
183,183,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
184,184,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
185,185,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
186,186,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
187,187,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
188,188,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
189,189,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
190,190,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
191,191,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
192,192,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
193,193,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
194,194,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
195,195,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
196,196,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
197,197,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
198,198,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
199,199,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
200,200,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
201,201,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
202,202,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
203,203,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
204,204,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
205,205,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
206,206,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
207,207,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
208,208,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
