Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/inst/net_slot_0_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_0_axis_tkeep[3:0],design_1_i/system_ila_0/inst/net_slot_0_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_0_axis_tready,design_1_i/system_ila_0/inst/net_slot_0_axis_tlast,design_1_i/system_ila_0/inst/net_slot_1_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_1_axis_tstrb[3:0],design_1_i/system_ila_0/inst/net_slot_1_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_1_axis_tready,design_1_i/system_ila_0/inst/net_slot_1_axis_tlast,design_1_i/system_ila_0/inst/net_slot_2_axis_tdata[31:0],design_1_i/system_ila_0/inst/net_slot_2_axis_tstrb[3:0],design_1_i/system_ila_0/inst/net_slot_2_axis_tvalid,design_1_i/system_ila_0/inst/net_slot_2_axis_tready,design_1_i/system_ila_0/inst/net_slot_2_axis_tlast,Interface_(i1:s0)_(axis_data_fifo_0_M_AXIS)[2:0],Interface_(i1:s1)_(axis_data_fifo_1_M_AXIS)[2:0],Interface_(i1:s2)_(Upsampling_Bayes_0_m00_axis1)[2:0],T_Channel_(i1:s0)_(axis_data_fifo_0_M_AXIS)[2:0],T_Channel_(i1:s1)_(axis_data_fifo_1_M_AXIS)[2:0],T_Channel_(i1:s2)_(Upsampling_Bayes_0_m00_axis1)[2:0]
430,430,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
431,431,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
432,432,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
433,433,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
434,434,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
435,435,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
436,436,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
437,437,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
438,438,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
439,439,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
440,440,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
441,441,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
442,442,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
443,443,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
444,444,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
445,445,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
446,446,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
447,447,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
448,448,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
449,449,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
450,450,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
451,451,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
452,452,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
453,453,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
454,454,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
455,455,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
456,456,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
457,457,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
458,458,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
459,459,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
460,460,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
461,461,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
462,462,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
463,463,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
464,464,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
465,465,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
466,466,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
467,467,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
468,468,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
469,469,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
470,470,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
471,471,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
472,472,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
473,473,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
474,474,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
475,475,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
476,476,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
477,477,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
478,478,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
479,479,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
480,480,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
481,481,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
482,482,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
483,483,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
484,484,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
485,485,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
486,486,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
487,487,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
488,488,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
489,489,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
490,490,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
491,491,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
492,492,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
493,493,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
494,494,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
495,495,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
496,496,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
497,497,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
498,498,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
499,499,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
500,500,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
501,501,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
502,502,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
503,503,0,00000000,0,0,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
504,504,0,1b728418,f,1,0,0,00000000,0,0,1,0,00000000,f,0,1,0,"_","_","_","_","_","_"
505,505,0,1b728418,f,1,1,0,00000000,0,0,1,0,00000000,f,0,1,0,"Active","_","_","Stream Beat","_","_"
506,506,0,891f7686,f,1,1,0,00000000,0,0,1,0,00000000,f,0,1,0,"Active","_","_","Stream Beat","_","_"
507,507,0,828b227c,f,1,1,0,00000000,0,0,1,0,00000000,f,0,1,0,"Active","_","_","Stream Beat","_","_"
508,508,0,23838a22,f,1,1,0,00000000,0,0,1,0,00000000,f,0,1,0,"Active","_","_","Stream Beat","_","_"
509,509,0,8b24858a,f,1,1,0,00000000,0,0,1,0,18728418,f,1,1,0,"Active","_","Active","Stream Beat","_","Stream Beat"
510,510,0,8a8d2688,f,1,1,0,00000000,0,0,1,0,84187284,f,1,1,0,"Active","_","Active","Stream Beat","_","Stream Beat"
511,511,0,2a8c8f28,f,1,1,0,00000000,0,0,1,0,72841872,f,1,1,1,"Active","_","Active","Stream Beat","_","Last Stream"
512,512,1,90268e91,f,1,1,0,18728418,f,1,1,0,72841872,f,0,1,0,"Active","Active","_","Stream Beat","Stream Beat","_"
513,513,0,8f952b8a,f,1,1,0,84187284,f,1,1,0,1b76861b,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
514,514,0,288a9026,f,1,1,0,72841872,f,1,1,1,1b76861b,f,0,1,0,"Active","Active","_","Stream Beat","Last Stream","_"
515,515,0,8c218c92,f,1,1,0,72841872,f,0,1,1,1b76861b,f,0,1,0,"Active","_","_","Stream Beat","_","_"
516,516,0,8a8d2489,f,1,1,0,1b76861b,f,1,1,0,861b7686,f,1,1,0,"Active","Active","Active","Stream Beat","Stream Beat","Stream Beat"
517,517,0,2b898b2a,f,1,0,0,1b76861b,f,0,0,0,76861b76,f,1,1,1,"_","_","Active","_","_","Last Stream"
518,518,0,2b898b2a,f,1,0,0,1b76861b,f,0,0,0,76861b76,f,0,1,0,"_","_","_","_","_","_"
519,519,0,2b898b2a,f,1,1,0,861b7686,f,1,0,0,22828b22,f,1,1,0,"Active","_","Active","Stream Beat","_","Stream Beat"
520,520,0,882d8889,f,1,1,0,861b7686,f,1,0,0,22828b22,f,0,1,0,"Active","_","_","Stream Beat","_","_"
521,521,0,83882c85,f,1,0,0,861b7686,f,1,0,0,22828b22,f,0,1,0,"_","_","_","_","_","_"
522,522,0,83882c85,f,1,0,0,861b7686,f,1,0,0,8b22828b,f,1,1,0,"_","_","Active","_","_","Stream Beat"
523,523,0,83882c85,f,1,0,0,861b7686,f,1,0,0,828b2282,f,1,1,1,"_","_","Active","_","_","Last Stream"
524,524,0,83882c85,f,1,0,0,861b7686,f,1,0,0,828b2282,f,0,1,0,"_","_","_","_","_","_"
525,525,0,83882c85,f,1,0,0,861b7686,f,1,0,0,23858a23,f,1,1,0,"_","_","Active","_","_","Stream Beat"
526,526,0,83882c85,f,1,1,0,861b7686,f,1,0,0,23858a23,f,0,1,0,"Active","_","_","Stream Beat","_","_"
527,527,0,2c82872d,f,1,0,0,861b7686,f,1,0,0,23858a23,f,0,1,0,"_","_","_","_","_","_"
528,528,0,2c82872d,f,1,0,0,861b7686,f,1,0,0,8a23858a,f,1,1,0,"_","_","Active","_","_","Stream Beat"
529,529,0,2c82872d,f,1,0,0,861b7686,f,1,0,0,858a2385,f,1,1,1,"_","_","Active","_","_","Last Stream"
530,530,0,2c82872d,f,1,0,0,861b7686,f,1,0,0,858a2385,f,0,1,0,"_","_","_","_","_","_"
531,531,0,2c82872d,f,1,1,0,861b7686,f,1,0,0,268a8d26,f,1,1,0,"Active","_","Active","Stream Beat","_","Stream Beat"
532,532,0,852c7e87,f,1,1,0,861b7686,f,1,0,0,268a8d26,f,0,1,0,"Active","_","_","Stream Beat","_","_"
533,533,0,78852b7c,f,1,0,0,861b7686,f,1,0,0,268a8d26,f,0,1,0,"_","_","_","_","_","_"
534,534,0,78852b7c,f,1,0,0,861b7686,f,1,0,0,8d268a8d,f,1,1,0,"_","_","Active","_","_","Stream Beat"
535,535,0,78852b7c,f,1,0,0,861b7686,f,1,0,0,8a8d268a,f,1,1,1,"_","_","Active","_","_","Last Stream"
536,536,0,78852b7c,f,1,0,0,861b7686,f,1,0,0,8a8d268a,f,0,1,0,"_","_","_","_","_","_"
537,537,0,78852b7c,f,1,0,0,861b7686,f,1,0,0,2a8e912a,f,1,1,0,"_","_","Active","_","_","Stream Beat"
538,538,0,78852b7c,f,1,1,0,861b7686,f,1,0,0,2a8e912a,f,0,1,0,"Active","_","_","Stream Beat","_","_"
539,539,0,277b882c,f,1,0,0,861b7686,f,1,0,0,2a8e912a,f,0,1,0,"_","_","_","_","_","_"
540,540,0,277b882c,f,1,0,0,861b7686,f,1,0,0,912a8e91,f,1,1,0,"_","_","Active","_","_","Stream Beat"
541,541,0,277b882c,f,1,0,0,861b7686,f,1,0,0,8e912a8e,f,1,1,1,"_","_","Active","_","_","Last Stream"
542,542,0,277b882c,f,1,0,0,861b7686,f,1,0,0,8e912a8e,f,0,1,0,"_","_","_","_","_","_"
543,543,0,277b882c,f,1,1,0,861b7686,f,1,0,0,2b8f952b,f,1,1,0,"Active","_","Active","Stream Beat","_","Stream Beat"
544,544,0,86267786,f,1,1,0,861b7686,f,1,0,0,2b8f952b,f,0,1,0,"Active","_","_","Stream Beat","_","_"
545,545,0,74862275,f,1,0,0,861b7686,f,1,0,0,2b8f952b,f,0,1,0,"_","_","_","_","_","_"
546,546,0,74862275,f,1,0,0,861b7686,f,1,0,0,952b8f95,f,1,1,0,"_","_","Active","_","_","Stream Beat"
547,547,0,74862275,f,1,0,0,861b7686,f,1,0,0,8f952b8f,f,1,1,1,"_","_","Active","_","_","Last Stream"
548,548,0,74862275,f,1,0,0,861b7686,f,1,0,0,8f952b8f,f,0,1,0,"_","_","_","_","_","_"
549,549,0,74862275,f,1,0,0,861b7686,f,1,0,0,288c9228,f,1,1,0,"_","_","Active","_","_","Stream Beat"
550,550,0,74862275,f,1,1,0,861b7686,f,1,0,0,288c9228,f,0,1,0,"Active","_","_","Stream Beat","_","_"
551,551,0,1c71861f,f,1,0,0,861b7686,f,1,0,0,288c9228,f,0,1,0,"_","_","_","_","_","_"
552,552,0,1c71861f,f,1,0,0,861b7686,f,1,0,0,92288c92,f,1,1,0,"_","_","Active","_","_","Stream Beat"
553,553,0,1c71861f,f,1,0,0,861b7686,f,1,0,0,8c92288c,f,1,1,1,"_","_","Active","_","_","Last Stream"
554,554,0,1c71861f,f,1,0,0,861b7686,f,1,0,0,8c92288c,f,0,1,0,"_","_","_","_","_","_"
555,555,0,1c71861f,f,1,1,0,861b7686,f,1,0,0,248a8d24,f,1,1,0,"Active","_","Active","Stream Beat","_","Stream Beat"
556,556,0,871b7085,f,1,1,0,861b7686,f,1,0,0,248a8d24,f,0,1,0,"Active","_","_","Stream Beat","_","_"
557,557,0,71881c70,f,1,0,0,861b7686,f,1,0,0,248a8d24,f,0,1,0,"_","_","_","_","_","_"
558,558,0,71881c70,f,1,0,0,861b7686,f,1,0,0,8d248a8d,f,1,1,0,"_","_","Active","_","_","Stream Beat"
559,559,0,71881c70,f,1,0,0,861b7686,f,1,0,0,8a8d248a,f,1,1,1,"_","_","Active","_","_","Last Stream"
560,560,0,71881c70,f,1,0,0,861b7686,f,1,0,0,8a8d248a,f,0,1,0,"_","_","_","_","_","_"
561,561,0,71881c70,f,1,0,0,861b7686,f,1,0,0,2b88892b,f,1,1,0,"_","_","Active","_","_","Stream Beat"
562,562,0,71881c70,f,1,1,0,861b7686,f,1,0,0,2b88892b,f,0,1,0,"Active","_","_","Stream Beat","_","_"
563,563,0,1a798c20,f,1,0,0,861b7686,f,1,0,0,2b88892b,f,0,1,0,"_","_","_","_","_","_"
564,564,0,1a798c20,f,1,0,0,861b7686,f,1,0,0,892b8889,f,1,1,0,"_","_","Active","_","_","Stream Beat"
565,565,0,1a798c20,f,1,0,0,861b7686,f,1,0,0,88892b88,f,1,1,1,"_","_","Active","_","_","Last Stream"
566,566,0,1a798c20,f,1,0,0,861b7686,f,1,0,0,88892b88,f,0,1,0,"_","_","_","_","_","_"
567,567,0,1a798c20,f,1,1,0,861b7686,f,1,0,0,2c83882c,f,1,1,0,"Active","_","Active","Stream Beat","_","Stream Beat"
568,568,0,8b1d7386,f,1,1,0,861b7686,f,1,0,0,2c83882c,f,0,1,0,"Active","_","_","Stream Beat","_","_"
569,569,0,7a8c1e79,f,1,0,0,861b7686,f,1,0,0,2c83882c,f,0,1,0,"_","_","_","_","_","_"
570,570,0,7a8c1e79,f,1,0,0,861b7686,f,1,0,0,882c8388,f,1,1,0,"_","_","Active","_","_","Stream Beat"
571,571,0,7a8c1e79,f,1,0,0,861b7686,f,1,0,0,83882c83,f,1,1,1,"_","_","Active","_","_","Last Stream"
572,572,0,7a8c1e79,f,1,0,0,861b7686,f,1,0,0,83882c83,f,0,1,0,"_","_","_","_","_","_"
573,573,0,7a8c1e79,f,1,0,0,861b7686,f,1,0,0,2c7e872c,f,1,1,0,"_","_","Active","_","_","Stream Beat"
574,574,0,7a8c1e79,f,1,1,0,861b7686,f,1,0,0,2c7e872c,f,0,1,0,"Active","_","_","Stream Beat","_","_"
575,575,0,18809121,f,1,0,0,861b7686,f,1,0,0,2c7e872c,f,0,1,0,"_","_","_","_","_","_"
576,576,0,18809121,f,1,0,0,861b7686,f,1,0,0,872c7e87,f,1,1,0,"_","_","Active","_","_","Stream Beat"
577,577,0,18809121,f,1,0,0,861b7686,f,1,0,0,7e872c7e,f,1,1,1,"_","_","Active","_","_","Last Stream"
578,578,0,18809121,f,1,0,0,861b7686,f,1,0,0,7e872c7e,f,0,1,0,"_","_","_","_","_","_"
579,579,0,18809121,f,1,1,0,861b7686,f,1,0,0,2b78852b,f,1,1,0,"Active","_","Active","Stream Beat","_","Stream Beat"
580,580,0,8d1c7788,f,1,1,0,861b7686,f,1,0,0,2b78852b,f,0,1,0,"Active","_","_","Stream Beat","_","_"
581,581,0,8593217f,f,1,0,0,861b7686,f,1,0,0,2b78852b,f,0,1,0,"_","_","_","_","_","_"
582,582,0,8593217f,f,1,0,0,861b7686,f,1,0,0,852b7885,f,1,1,0,"_","_","Active","_","_","Stream Beat"
583,583,0,8593217f,f,1,0,0,861b7686,f,1,0,0,78852b78,f,1,1,1,"_","_","Active","_","_","Last Stream"
584,584,0,8593217f,f,1,0,0,861b7686,f,1,0,0,78852b78,f,0,1,0,"_","_","_","_","_","_"
585,585,0,8593217f,f,1,0,0,861b7686,f,1,0,0,27778627,f,1,1,0,"_","_","Active","_","_","Stream Beat"
586,586,0,8593217f,f,1,1,0,861b7686,f,1,0,0,27778627,f,0,1,0,"Active","_","_","Stream Beat","_","_"
587,587,0,1c899322,f,1,0,0,861b7686,f,1,0,0,27778627,f,0,1,0,"_","_","_","_","_","_"
588,588,0,1c899322,f,1,0,0,861b7686,f,1,0,0,86277786,f,1,1,0,"_","_","Active","_","_","Stream Beat"
589,589,0,1c899322,f,1,0,0,861b7686,f,1,0,0,77862777,f,1,1,1,"_","_","Active","_","_","Last Stream"
590,590,0,1c899322,f,1,0,0,861b7686,f,1,0,0,77862777,f,0,1,0,"_","_","_","_","_","_"
591,591,0,1c899322,f,1,1,0,861b7686,f,1,0,0,22748622,f,1,1,0,"Active","_","Active","Stream Beat","_","Stream Beat"
592,592,0,911d858f,f,1,1,0,861b7686,f,1,0,0,22748622,f,0,1,0,"Active","_","_","Stream Beat","_","_"
593,593,0,8c931f8a,f,1,0,0,861b7686,f,1,0,0,22748622,f,0,1,0,"_","_","_","_","_","_"
594,594,0,8c931f8a,f,1,0,0,861b7686,f,1,0,0,86227486,f,1,1,0,"_","_","Active","_","_","Stream Beat"
595,595,0,8c931f8a,f,1,0,0,861b7686,f,1,0,0,74862274,f,1,1,1,"_","_","Active","_","_","Last Stream"
596,596,0,8c931f8a,f,1,0,0,861b7686,f,1,0,0,74862274,f,0,1,0,"_","_","_","_","_","_"
597,597,0,8c931f8a,f,1,0,0,861b7686,f,1,0,0,1c70851c,f,1,1,0,"_","_","Active","_","_","Stream Beat"
598,598,0,8c931f8a,f,1,1,0,861b7686,f,1,0,0,1c70851c,f,0,1,0,"Active","_","_","Stream Beat","_","_"
599,599,0,1d8c8f1a,f,1,0,0,861b7686,f,1,0,0,1c70851c,f,0,1,0,"_","_","_","_","_","_"
600,600,0,1d8c8f1a,f,1,0,0,861b7686,f,1,0,0,851c7085,f,1,1,0,"_","_","Active","_","_","Stream Beat"
601,601,0,1d8c8f1a,f,1,0,0,861b7686,f,1,0,0,70851c70,f,1,1,1,"_","_","Active","_","_","Last Stream"
602,602,0,1d8c8f1a,f,1,0,0,861b7686,f,1,0,0,70851c70,f,0,1,0,"_","_","_","_","_","_"
603,603,0,1d8c8f1a,f,1,1,0,861b7686,f,1,0,0,1c71881c,f,1,1,0,"Active","_","Active","Stream Beat","_","Stream Beat"
604,604,0,98218f92,f,1,1,0,861b7686,f,1,0,0,1c71881c,f,0,1,0,"Active","_","_","Stream Beat","_","_"
605,605,0,94982097,f,1,0,0,861b7686,f,1,0,0,1c71881c,f,0,1,0,"_","_","_","_","_","_"
606,606,0,94982097,f,1,0,0,861b7686,f,1,0,0,881c7188,f,1,1,0,"_","_","Active","_","_","Stream Beat"
607,607,0,94982097,f,1,0,0,861b7686,f,1,0,0,71881c71,f,1,1,1,"_","_","Active","_","_","Last Stream"
608,608,0,94982097,f,1,0,0,861b7686,f,1,0,0,71881c71,f,0,1,0,"_","_","_","_","_","_"
609,609,0,94982097,f,1,0,0,861b7686,f,1,0,0,1a73861a,f,1,1,0,"_","_","Active","_","_","Stream Beat"
610,610,0,94982097,f,1,1,0,861b7686,f,1,0,0,1a73861a,f,0,1,0,"Active","_","_","Stream Beat","_","_"
611,611,0,269b9e2b,f,1,0,0,861b7686,f,1,0,0,1a73861a,f,0,1,0,"_","_","_","_","_","_"
612,612,0,269b9e2b,f,1,0,0,861b7686,f,1,0,0,861a7386,f,1,1,0,"_","_","Active","_","_","Stream Beat"
613,613,0,269b9e2b,f,1,0,0,861b7686,f,1,0,0,73861a73,f,1,1,1,"_","_","Active","_","_","Last Stream"
614,614,0,269b9e2b,f,1,0,0,861b7686,f,1,0,0,73861a73,f,0,1,0,"_","_","_","_","_","_"
615,615,0,269b9e2b,f,1,1,0,861b7686,f,1,0,0,1e7a8c1e,f,1,1,0,"Active","_","Active","Stream Beat","_","Stream Beat"
616,616,0,9423959a,f,1,1,0,861b7686,f,1,0,0,1e7a8c1e,f,0,1,0,"Active","_","_","Stream Beat","_","_"
617,617,0,94982790,f,1,0,0,861b7686,f,1,0,0,1e7a8c1e,f,0,1,0,"_","_","_","_","_","_"
618,618,0,94982790,f,1,0,0,861b7686,f,1,0,0,8c1e7a8c,f,1,1,0,"_","_","Active","_","_","Stream Beat"
619,619,0,94982790,f,1,0,0,861b7686,f,1,0,0,7a8c1e7a,f,1,1,1,"_","_","Active","_","_","Last Stream"
620,620,0,94982790,f,1,0,0,861b7686,f,1,0,0,7a8c1e7a,f,0,1,0,"_","_","_","_","_","_"
621,621,0,94982790,f,1,0,0,861b7686,f,1,0,0,18778818,f,1,1,0,"_","_","Active","_","_","Stream Beat"
622,622,0,94982790,f,1,1,0,861b7686,f,1,0,0,18778818,f,0,1,0,"Active","_","_","Stream Beat","_","_"
623,623,0,259a9c2e,f,1,0,0,861b7686,f,1,0,0,18778818,f,0,1,0,"_","_","_","_","_","_"
624,624,0,259a9c2e,f,1,0,0,861b7686,f,1,0,0,88187788,f,1,1,0,"_","_","Active","_","_","Stream Beat"
625,625,0,259a9c2e,f,1,0,0,861b7686,f,1,0,0,77881877,f,1,1,1,"_","_","Active","_","_","Last Stream"
626,626,0,259a9c2e,f,1,0,0,861b7686,f,1,0,0,77881877,f,0,1,0,"_","_","_","_","_","_"
627,627,0,259a9c2e,f,1,1,0,861b7686,f,1,0,0,21859321,f,1,1,0,"Active","_","Active","Stream Beat","_","Stream Beat"
628,628,0,8d209193,f,1,1,0,861b7686,f,1,0,0,21859321,f,0,1,0,"Active","_","_","Stream Beat","_","_"
629,629,0,9094268b,f,1,0,0,861b7686,f,1,0,0,21859321,f,0,1,0,"_","_","_","_","_","_"
630,630,0,9094268b,f,1,0,0,861b7686,f,1,0,0,93218593,f,1,1,0,"_","_","Active","_","_","Stream Beat"
631,631,0,9094268b,f,1,0,0,861b7686,f,1,0,0,85932185,f,1,1,1,"_","_","Active","_","_","Last Stream"
